"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000062497",1.95187656168662,4.3888871405452,86.9845968510699,1.09369659949646e-20,6.6927658424932e-18,255,229,144,790,836,651,"Olfr1411","olfactory receptor 1411"
"3","ENSMUSG00000067186",1.8340400860524,4.76056916216945,86.7771341797176,1.21465804763942e-20,6.6927658424932e-18,288,403,184,909,1313,713,"Olfr132","olfactory receptor 132"
"6","ENSMUSG00000049041",1.55346275152981,3.85720844327717,42.244100296609,8.05626792999881e-11,2.9593357529529e-08,212,222,106,435,682,376,"Olfr398","olfactory receptor 398"
"7","ENSMUSG00000061616",1.41156422100022,4.17777103033645,41.0715623277938,1.46756151551275e-10,4.04313197523763e-08,257,304,156,492,803,511,"Olfr12","olfactory receptor 12"
"15","ENSMUSG00000045202",1.81125664344964,2.85126534384839,26.1814982294402,3.10786010898065e-07,6.84972368019335e-05,97,81,44,150,430,201,"Olfr123","olfactory receptor 123"
"25","ENSMUSG00000095917",-0.896864242830092,4.82323409097314,19.2088304914546,1.17170129381438e-05,0.00215202470963908,649,1265,741,358,494,466,"Olfr740","olfactory receptor 740"
"42","ENSMUSG00000069390",-1.70704706743807,0.754874365923267,15.1217863346489,0.000100793350628761,0.0158677531989849,44,85,48,25,13,13,"Olfr707","olfactory receptor 707"
"73","ENSMUSG00000068431",-0.745605368423397,4.324085890396,13.1710229377529,0.000284311492253261,0.0391639080578867,529,934,392,313,422,274,"Olfr742","olfactory receptor 742"
"92","ENSMUSG00000096000",-5.6257793231634,-2.15504968295339,11.7960207776845,0.000593574566617764,0.06544725895655,16,4,0,0,0,0,"Olfr773","olfactory receptor 773"
"93","ENSMUSG00000052508",-0.555472992265739,5.66889936644148,11.7950151929946,0.000593895271838022,0.06544725895655,1526,1549,1258,1003,944,863,"Olfr536","olfactory receptor 536"
"98","ENSMUSG00000083947",1.24321324433315,3.37553574867335,11.4149454490977,0.000728556360177655,0.0683148846740336,180,146,94,171,394,417,"Olfr122","olfactory receptor 122"
"99","ENSMUSG00000075115",-0.960358012473893,1.79775905159967,11.3762268542859,0.00074390074055209,0.0683148846740336,132,122,72,54,72,35,"Olfr1200","olfactory receptor 1200"
"115","ENSMUSG00000045030",-0.840939462766267,3.16170932731507,10.8266070701382,0.00100051813914787,0.0848131530262271,243,425,173,116,184,129,"Olfr1443","olfactory receptor 1443"
"129","ENSMUSG00000070852",1.87876371561284,-0.347423884440434,10.3425364827212,0.00129999249173958,0.0965392678884756,11,7,4,21,29,26,"Olfr1121","olfactory receptor 1121"
"131","ENSMUSG00000107645",-0.701474151804391,4.00626911348952,10.3226771795638,0.00131405537053279,0.0965392678884756,358,503,503,164,316,349,"Olfr1380","olfactory receptor 1380"
"137","ENSMUSG00000108534",1.1415150849964,0.966600630258656,10.1915791892054,0.00141083439674569,0.0971712190758594,24,32,25,34,75,68,"Olfr1360","olfactory receptor 1360"
"150","ENSMUSG00000094285",-0.756426912097004,5.08765280107799,9.91283484456792,0.00164130110336681,0.10639493034766,665,1935,642,425,661,534,"Olfr743","olfactory receptor 743"
"168","ENSMUSG00000090951",-0.921645910636853,1.50021019916904,9.50338326995198,0.00205093385142106,0.124270577870383,127,90,46,65,50,20,"Olfr181","olfactory receptor 181"
"171","ENSMUSG00000095095",-3.39773581608904,-1.68135274343981,9.42318020709947,0.00214259617017901,0.124270577870383,4,14,11,0,3,0,"Olfr385","olfactory receptor 385"
