"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"5","ENSMUSG00000068535",2.90750834349543,5.40071457114976,107.659199800461,3.19206670710221e-25,3.51765751122664e-22,285,289,165,2531,1228,2366,"Olfr169","olfactory receptor 169"
"6","ENSMUSG00000056822",2.40154474030252,5.91854245787744,102.547984246113,4.21044708078886e-24,2.31995634151466e-21,549,528,324,4366,1781,2264,"Olfr166","olfactory receptor 166"
"7","ENSMUSG00000045341",2.45281648876383,4.65899132107774,95.4735451257288,1.49880855000887e-22,5.50562340703258e-20,242,201,140,1489,785,1225,"Olfr167","olfactory receptor 167"
"8","ENSMUSG00000061361",2.79652250852519,5.38709005707114,93.5707204384181,3.91942963328125e-22,1.07980286396898e-19,340,309,158,1867,1533,2565,"Olfr168","olfactory receptor 168"
"15","ENSMUSG00000075084",2.49999709429665,2.92862898032794,44.6727521574346,2.32875679339423e-11,5.13257997264088e-09,83,53,31,492,165,401,"Olfr1243","olfactory receptor 1243"
"27","ENSMUSG00000060480",1.93392237658987,3.57982965399994,32.3379263497604,1.2955971937024e-08,2.11773172965668e-06,122,151,86,406,363,786,"Olfr171","olfactory receptor 171"
"28","ENSMUSG00000062245",1.78286247588793,3.33684342277172,32.2649199984717,1.3452016431576e-08,2.11773172965668e-06,133,158,61,329,525,397,"Olfr170","olfactory receptor 170"
"30","ENSMUSG00000111715",1.93323784036201,2.42056257405362,31.3493757635974,2.15527983380374e-08,2.96889797106465e-06,55,68,36,357,201,132,"Olfr1246","olfactory receptor 1246"
"38","ENSMUSG00000075085",2.37235249453281,3.65956277937801,28.1331094981116,1.13251724113358e-07,1.38670444414356e-05,154,149,34,660,348,693,"Olfr1242","olfactory receptor 1242"
"52","ENSMUSG00000062608",1.72921199200213,1.24330335793658,23.1802353938192,1.47505597070279e-06,0.000162551167971447,33,30,17,123,98,65,"Olfr195","olfactory receptor 195"
"131","ENSMUSG00000096409",-3.12724135281545,-0.978909342215311,13.2497097972273,0.00027262207205965,0.0273117748554304,21,25,13,6,1,1,"Olfr890","olfactory receptor 890"
"156","ENSMUSG00000049010",-1.36939888511277,0.860734408242604,12.150402103724,0.000490772823369271,0.0450693042794114,79,63,49,28,29,22,"Olfr982","olfactory receptor 982"
"223","ENSMUSG00000044824",-2.24060424596701,-0.522263665761038,10.4899631319931,0.00120024766551787,0.101744071338515,21,35,20,3,14,3,"Olfr545","olfactory receptor 545"
"252","ENSMUSG00000043366",-1.19188659085888,1.10773011003123,9.99147602444059,0.00157266496131027,0.115780051142982,113,78,33,53,25,24,"Olfr78","olfactory receptor 78"
"254","ENSMUSG00000095804",-1.58856213619549,0.232868620446145,9.9876294790294,0.00157595350920574,0.115780051142982,48,35,41,23,12,11,"Olfr824","olfactory receptor 824"
"275","ENSMUSG00000054890",-0.989955284909173,2.19293722093221,9.75068818723743,0.00179255596043449,0.123462291774925,177,128,141,122,59,71,"Olfr1535","olfactory receptor 1535"
"303","ENSMUSG00000050134",-0.925413203208901,2.67573029161693,9.52720488886338,0.00202448215275793,0.129562137358253,244,224,159,148,99,110,"Olfr430","olfactory receptor 430"
"311","ENSMUSG00000096822",-4.00326035577314,-2.28732274248655,9.44586216519059,0.00211625995684986,0.129562137358253,7,8,4,0,1,0,"Olfr344","olfactory receptor 344"
"379","ENSMUSG00000075186",-2.86849960922333,-1.21794027649157,8.83092646422867,0.00296167990426398,0.171777434447311,12,24,11,6,2,0,"Olfr1058","olfactory receptor 1058"
"426","ENSMUSG00000095484",1.49236438206682,0.311482355392877,8.40343288382739,0.00374513103936053,0.206356720268765,15,16,12,78,27,38,"Olfr1480","olfactory receptor 1480"
"503","ENSMUSG00000057564",-0.918736371087172,1.99535150760725,7.94839952047839,0.0048129921851327,0.250542063046162,120,230,54,65,98,46,"Olfr1508","olfactory receptor 1508"
"512","ENSMUSG00000051593",-0.970123168639316,1.21578244797939,7.87880675417015,0.00500174717515023,0.250542063046162,76,72,76,43,38,43,"Olfr272","olfactory receptor 272"
"576","ENSMUSG00000057817",-1.11458095634182,0.792013161149512,7.517771688414,0.00610932074642341,0.290775937760035,80,51,42,32,21,32,"Olfr1446","olfactory receptor 1446"
"593","ENSMUSG00000075062",-0.826990532441369,2.41316597162331,7.45311153249246,0.00633268829967408,0.290775937760035,210,193,111,126,93,88,"Olfr1271","olfactory receptor 1271"
"613","ENSMUSG00000057444",4.80224780678005,-2.77575478594412,7.33789486255564,0.00675158601539364,0.297609911558552,0,0,0,7,2,2,"Olfr915","olfactory receptor 915"
"717","ENSMUSG00000064084",-1.54660917944812,-0.231119164662915,6.94287196029275,0.00841538902883623,0.356683027299136,25,49,16,7,13,11,"Olfr1202","olfactory receptor 1202"
"757","ENSMUSG00000055971",-1.43540475458084,-0.0796038494716967,6.7908573860581,0.00916258920158951,0.365558149933907,34,35,27,8,16,15,"Olfr378","olfactory receptor 378"
"767","ENSMUSG00000073972",-0.774143053676852,2.49829865798826,6.76654861607233,0.009288228854945,0.365558149933907,249,157,131,138,101,94,"Olfr553","olfactory receptor 553"
"807","ENSMUSG00000042801",-0.940325108697961,1.26495291656471,6.64102895862566,0.00996563589307621,0.378694163936896,110,55,67,42,30,58,"Olfr769","olfactory receptor 769"
"834","ENSMUSG00000040328",-1.18532584820749,3.47855741760522,6.56987044407789,0.0103719500775678,0.380996299515991,572,542,120,165,125,218,"Olfr56","olfactory receptor 56"
