"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"41","ENSMUSG00000070821",1.6009013780044,3.81242686760526,15.3284344818661,9.03463485661543e-05,0.099561676119902,251,148,255,387,1004,788,"Olfr1340","olfactory receptor 1340"
"126","ENSMUSG00000075064",5.56075229322474,-2.76170673934159,10.2202794601861,0.00138904802275843,0.765365460539895,0,0,0,0,16,2,"Olfr1506","olfactory receptor 1506"
"204","ENSMUSG00000050366",0.887005897254016,3.30938810705813,8.78331692034475,0.00303997920636809,1,250,169,275,434,410,474,"Olfr524","olfactory receptor 524"
"340","ENSMUSG00000110621",-2.3199368287566,-2.11269260720774,7.41335468990006,0.00647414921925819,1,11,8,10,2,1,3,"Olfr837","olfactory receptor 837"
"498","ENSMUSG00000075212",-3.12735038230116,-2.45658324953095,6.59791182945287,0.0102098439990032,1,8,6,8,0,3,0,"Olfr154","olfactory receptor 154"
"675","ENSMUSG00000111454",3.3337808184422,-3.03397172925112,6.04383952364006,0.0139549024113768,1,0,1,0,3,6,3,"Olfr998","olfactory receptor 998"
"693","ENSMUSG00000075427",1.24513619709299,1.10101029694473,5.97603853071848,0.0145015391954662,1,47,76,13,70,104,120,"Olfr288","olfactory receptor 288"
"754","ENSMUSG00000094721",3.11925706659658,-2.31452828965295,5.79651682571072,0.0160579550498017,1,3,0,0,4,15,7,"Olfr1462","olfactory receptor 1462"
"762","ENSMUSG00000067545",1.07564854987107,0.419908782157524,5.77863119300149,0.0162221699058684,1,43,32,11,91,44,45,"Olfr1419","olfactory receptor 1419"
"795","ENSMUSG00000048425",1.15775718762225,0.279745363168851,5.70109482853634,0.016954334071945,1,30,25,16,39,69,57,"Olfr686","olfactory receptor 686"
"939","ENSMUSG00000043692",0.996769958060136,0.356940785898188,5.39742441993384,0.0201664904308344,1,26,29,26,61,63,46,"Olfr399","olfactory receptor 399"
"1139","ENSMUSG00000073932",1.38249161916242,-0.411198097161885,5.06413520453606,0.0244258895664246,1,24,9,7,35,46,21,"Olfr641","olfactory receptor 641"
"1153","ENSMUSG00000061387",1.09392554581697,0.330384812706658,5.04300961668826,0.0247254975427713,1,47,28,9,63,56,44,"Olfr1490","olfactory receptor 1490"
"1198","ENSMUSG00000073997",1.27929374412076,-0.582606402058631,4.97808361105673,0.0256704039311126,1,16,7,12,32,18,40,"Olfr521","olfactory receptor 521"
