"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"5","ENSMUSG00000060084",2.60442488665546,3.86763175690898,61.887339195396,3.63680370784484e-15,4.00775768604501e-12,104,117,202,1492,468,671,"Olfr748","olfactory receptor 748"
"6","ENSMUSG00000110008",1.93249795941183,2.0059670084779,48.3577307303863,3.55141374343199e-12,1.95682897263103e-09,50,62,62,178,164,296,"Olfr560","olfactory receptor 560"
"7","ENSMUSG00000109058",1.73337601657352,2.95717160824336,46.191689654237,1.07230846744858e-11,3.93894643709445e-09,168,113,103,481,250,488,"Olfr705","olfactory receptor 705"
"9","ENSMUSG00000058188",2.12604962378817,1.00299340737866,35.2841307033996,2.84944419855489e-09,7.85021876701872e-07,34,14,25,217,43,80,"Olfr746","olfactory receptor 746"
"10","ENSMUSG00000075145",1.9906528006521,0.972526771364208,32.4060428273402,1.25096864187126e-08,2.75713488668426e-06,24,37,23,118,80,114,"Olfr1155","olfactory receptor 1155"
"30","ENSMUSG00000049797",-0.841919182360756,4.29908950167717,23.5118678535552,1.24145618068308e-06,0.000228014118518792,1311,459,982,745,265,426,"Olfr642","olfactory receptor 642"
"36","ENSMUSG00000061561",-1.54749391365801,1.04466652219087,21.0507073533954,4.47287697830098e-06,0.000704158632869668,103,83,134,51,22,32,"Olfr373","olfactory receptor 373"
"70","ENSMUSG00000047716",1.33226916727075,1.37522544150345,15.7150935393584,7.36342440197844e-05,0.0101431171137253,79,48,35,110,134,121,"Olfr736","olfactory receptor 736"
"105","ENSMUSG00000075194",-4.47742646329865,-2.2892057855539,12.9928049806183,0.000312690193802035,0.0382871770633158,3,9,18,0,0,1,"Olfr1049","olfactory receptor 1049"
"112","ENSMUSG00000059610",-0.54435525449599,4.3808569365061,12.5267071711924,0.000401176183537066,0.0442096154257847,867,1005,812,585,567,558,"Olfr222","olfactory receptor 222"
"132","ENSMUSG00000070459",-0.89058608961453,3.21926440991995,11.5558066116643,0.000675380020649577,0.0676607984323485,378,393,526,287,205,167,"Olfr290","olfactory receptor 290"
"155","ENSMUSG00000075387",-1.45498043837564,0.2479752721938,10.8350108991086,0.000995987317975873,0.084085379270567,78,38,62,15,15,31,"Olfr341","olfactory receptor 341"
"164","ENSMUSG00000096000",5.28276104302035,-3.01170206782725,10.6339195516476,0.0011103213448,0.084085379270567,0,0,0,3,4,7,"Olfr773","olfactory receptor 773"
"168","ENSMUSG00000109528",1.59538987715265,-0.217835917508112,10.589719993808,0.00113718198823134,0.084085379270567,22,7,15,66,25,34,"Olfr1309","olfactory receptor 1309"
"169","ENSMUSG00000059279",0.806805528679608,2.81540293619347,10.5778000055659,0.00114453783036162,0.084085379270567,194,241,129,362,257,284,"Olfr224","olfactory receptor 224"
"194","ENSMUSG00000075064",3.91335068092796,-2.1620987768799,10.1053674247833,0.00147838115218403,0.101823501856675,2,0,0,17,0,16,"Olfr1506","olfactory receptor 1506"
"222","ENSMUSG00000075210",-1.13031532868709,0.620848567185818,9.63403460547333,0.00191004572593787,0.123200209582004,85,65,70,35,35,24,"Olfr1012","olfactory receptor 1012"
"228","ENSMUSG00000051706",-0.713845175946879,2.58406718276253,9.53824142136145,0.00201234462112166,0.123200209582004,245,228,319,159,108,190,"Olfr1325","olfactory receptor 1325"
"241","ENSMUSG00000094119",-1.14413949867833,0.81533085155138,9.36372053306048,0.00221322436876509,0.125974763335507,97,92,64,43,20,47,"Olfr612","olfactory receptor 612"
"245","ENSMUSG00000043312",-0.618938597483208,3.98911375940048,9.30419827056347,0.00228629334547199,0.125974763335507,713,671,668,648,282,388,"Olfr131","olfactory receptor 131"
"260","ENSMUSG00000069430",-0.864130759713812,1.3393289935681,9.12479187920958,0.00252168570852336,0.132328459561559,112,97,136,61,52,63,"Olfr9","olfactory receptor 9"
"282","ENSMUSG00000059069",0.565151486883473,4.05279224840731,8.88599508390145,0.00287366379881551,0.143944432104304,389,468,595,749,558,684,"Olfr749","olfactory receptor 749"
"320","ENSMUSG00000111259",-0.720942779302327,2.51395984492814,8.55172313870989,0.00345195315863455,0.165393581774577,279,179,292,214,77,157,"Olfr1328","olfactory receptor 1328"
"341","ENSMUSG00000096151",-0.581158082755223,3.84652639496368,8.3614709013066,0.003832602108529,0.17598031348329,497,576,731,231,384,562,"Olfr477","olfactory receptor 477"
"372","ENSMUSG00000043310",-0.668424482173257,2.73208745208772,8.12108286139601,0.00437534169560932,0.1768046927711,278,246,347,209,123,186,"Olfr571","olfactory receptor 571"
"373","ENSMUSG00000070820",-0.7308412392769,2.02964248445387,8.11916032529692,0.00437998408242504,0.1768046927711,174,150,214,115,66,129,"Olfr1339","olfactory receptor 1339"
"385","ENSMUSG00000042894",0.666161770239015,2.53052215928038,8.05997455623316,0.00452538192151044,0.1768046927711,208,130,141,327,153,246,"Olfr1260","olfactory receptor 1260"
"388","ENSMUSG00000110259",-0.753418877795668,3.03269380473995,8.03024158704213,0.00460027032350195,0.1768046927711,323,286,466,298,98,244,"Olfr65","olfactory receptor 65"
"391","ENSMUSG00000070423",-0.890553797737181,1.3537656925327,8.00969588392232,0.00465275507292368,0.1768046927711,97,109,145,73,54,49,"Olfr558","olfactory receptor 558"
"403","ENSMUSG00000070378",-0.952589204277807,0.856617877061019,7.91136358435372,0.00491252269026022,0.180453333488892,99,76,73,66,34,26,"Olfr403","olfactory receptor 403"
"421","ENSMUSG00000043366",-0.923712101586082,1.26626752200402,7.79056425994498,0.00525197906457226,0.186699384811569,109,83,141,57,59,45,"Olfr78","olfactory receptor 78"
"492","ENSMUSG00000094269",-1.38758812958253,-0.28587388726489,7.41418916246418,0.00647114713827873,0.222850129574474,24,54,40,10,24,9,"Olfr951","olfactory receptor 951"
"513","ENSMUSG00000094063",-1.35157291443361,-0.236109044164833,7.29397601957634,0.00691861907196885,0.231039945979081,18,60,47,11,15,16,"Olfr638","olfactory receptor 638"
"526","ENSMUSG00000058802",-0.751923585677121,1.45944966884632,7.22307322373149,0.00719723821881163,0.233275191680306,122,113,128,77,46,83,"Olfr97","olfactory receptor 97"
"563","ENSMUSG00000073966",-0.710843054612536,2.82492334190736,7.05639542716471,0.00789827604878064,0.248682863021608,218,247,483,200,122,199,"Olfr561","olfactory receptor 561"
"593","ENSMUSG00000050788",-0.681203255908737,2.5182925617776,6.9317828211203,0.00846772388724372,0.259206436770627,262,267,223,226,106,126,"Olfr419","olfactory receptor 419"
"611","ENSMUSG00000075104",-0.701944299684543,1.74160806481304,6.84520283851393,0.00888796074760098,0.260271171809219,140,163,137,69,91,93,"Olfr1219","olfactory receptor 1219"
"616","ENSMUSG00000075380",-1.62514897613858,-0.44683054538696,6.82782118539901,0.00897486799342136,0.260271171809219,18,7,75,6,0,34,"Olfr355","olfactory receptor 355"
"672","ENSMUSG00000052182",-1.01631134392976,0.336100458514745,6.64031562122208,0.00996962701849492,0.276229415336519,55,60,58,19,28,34,"Olfr849","olfactory receptor 849"
"673","ENSMUSG00000056863",-1.0429708235949,0.234521247070664,6.63018659801748,0.010026476055772,0.276229415336519,40,47,76,24,20,28,"Olfr702","olfactory receptor 702"
"744","ENSMUSG00000092292",-2.55585830396404,-2.2664206282192,6.34548754615622,0.0117680261386141,0.311280877485798,5,18,5,2,2,0,"Olfr113","olfactory receptor 113"
