"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"32","ENSMUSG00000069998",-2.32405084146366,0.645188465476428,17.3374511083961,3.12957965190814e-05,0.0344879677640277,89,71,58,20,20,5,"Olfr372","olfactory receptor 372"
"47","ENSMUSG00000075172",-3.55500489466458,-1.03022249836663,14.0387636640803,0.000179080638051268,0.0986734315662487,21,28,18,1,6,0,"Olfr1090","olfactory receptor 1090"
"59","ENSMUSG00000063386",-1.69181843037587,2.00970884835223,12.2670967682706,0.000461014931976794,0.120614244582256,192,198,145,44,74,43,"Olfr1387","olfactory receptor 1387"
"67","ENSMUSG00000075068",-1.55395997096615,6.74846582936338,12.0274311092641,0.000524232774483575,0.120614244582256,6438,4384,3487,1855,1594,1136,"Olfr140","olfactory receptor 140"
"70","ENSMUSG00000046396",-1.73054286782639,0.961563291406248,11.947350183962,0.000547251563440363,0.120614244582256,87,104,58,24,43,11,"Olfr609","olfactory receptor 609"
"78","ENSMUSG00000063615",-1.68850242696968,1.30122980925619,11.5424411770717,0.000680252603224266,0.124939728125524,95,118,104,21,62,22,"Olfr64","olfactory receptor 64"
"93","ENSMUSG00000073898",-1.80467757154753,0.508265968414302,10.83841599768,0.000994157412753184,0.126574345067172,50,85,43,12,38,7,"Olfr713","olfactory receptor 713"
"102","ENSMUSG00000042801",-1.71672277268054,0.523374509708154,10.4068195087634,0.00125550794381206,0.126574345067172,63,67,54,19,27,10,"Olfr769","olfactory receptor 769"
"106","ENSMUSG00000075065",-1.79122868441086,1.61513462519977,10.331590778017,0.00130772447693299,0.126574345067172,142,117,144,36,74,17,"Olfr1270","olfactory receptor 1270"
"108","ENSMUSG00000107417",-1.75650106792444,1.92463964533289,10.179324782671,0.00142024181021816,0.126574345067172,368,42,118,95,26,16,"Olfr1383","olfactory receptor 1383"
"113","ENSMUSG00000095401",-2.67577718709434,-1.04253768657788,10.0566716729076,0.0015179721551963,0.126574345067172,28,18,18,3,6,1,"Olfr804","olfactory receptor 804"
"118","ENSMUSG00000052625",-2.16426228248721,1.11115420857195,9.9025486478204,0.00165050032988207,0.126574345067172,68,112,99,19,65,3,"Olfr851","olfactory receptor 851"
"120","ENSMUSG00000051680",-1.8563975157428,1.76682034769624,9.83097478488713,0.00171597385223855,0.126574345067172,124,138,194,39,79,17,"Olfr693","olfactory receptor 693"
"129","ENSMUSG00000066748",-1.84067599106792,1.51759634235973,9.69423980018378,0.00184846538691952,0.126574345067172,82,157,114,22,102,10,"Olfr145","olfactory receptor 145"
"144","ENSMUSG00000054526",-1.45470218137335,1.19999156851506,9.2548094591212,0.0023487777158756,0.126574345067172,106,119,57,31,58,16,"Olfr1500","olfactory receptor 1500"
"146","ENSMUSG00000048292",-1.71613523043394,2.16226036809242,9.19106334265271,0.00243199566634285,0.126574345067172,294,181,90,71,120,12,"Olfr1417","olfactory receptor 1417"
"148","ENSMUSG00000046431",-1.66749709416916,2.45847119504898,9.15187476221066,0.00248463369976214,0.126574345067172,251,250,201,68,149,32,"Olfr518","olfactory receptor 518"
"149","ENSMUSG00000110259",-1.58729648637747,2.75212680418807,9.13678851012598,0.00250520446030093,0.126574345067172,392,254,233,105,141,49,"Olfr65","olfactory receptor 65"
"150","ENSMUSG00000051362",-5.16513459372362,-2.77565430302106,9.08928827737468,0.00257110908261859,0.126574345067172,6,2,6,0,0,0,"Olfr589","olfactory receptor 589"
"151","ENSMUSG00000029184",-1.56831760214907,1.67853258930168,9.04394934681337,0.00263565653257701,0.126574345067172,81,179,140,29,95,23,"Olfr109","olfactory receptor 109"
"158","ENSMUSG00000096273",-2.87406616952866,-1.36978027573131,8.96675909612,0.00274935856614691,0.126574345067172,16,13,21,1,5,1,"Olfr1474","olfactory receptor 1474"
"164","ENSMUSG00000107677",-1.52309312353694,0.726880217698465,8.91481778886645,0.00282866033657493,0.126574345067172,102,42,67,37,18,15,"Olfr316","olfactory receptor 316"
"169","ENSMUSG00000067064",-2.08812208013157,1.2774149845286,8.82689392632233,0.00296823171854294,0.126574345067172,108,96,105,24,78,4,"Olfr1416","olfactory receptor 1416"
"173","ENSMUSG00000094986",-1.94769974910234,-0.384668088410916,8.78369773919862,0.00303934463548377,0.126574345067172,46,30,23,9,10,5,"Olfr1454","olfactory receptor 1454"
