Status	Approved symbol	Approved name	UniProt accession
Approved	OR1A1	olfactory receptor family 1 subfamily A member 1	Q9P1Q5
Approved	OR1A2	olfactory receptor family 1 subfamily A member 2	Q9Y585
Approved	OR1B1	olfactory receptor family 1 subfamily B member 1	Q8NGR6
Approved	OR1C1	olfactory receptor family 1 subfamily C member 1	Q15619
Approved	OR1D2	olfactory receptor family 1 subfamily D member 2	P34982
Approved	OR1D4	olfactory receptor family 1 subfamily D member 4	P47884
Approved	OR1D5	olfactory receptor family 1 subfamily D member 5	P58170
Approved	OR1E1	olfactory receptor family 1 subfamily E member 1	P30953
Approved	OR1E2	olfactory receptor family 1 subfamily E member 2	P47887
Approved	OR1F1	olfactory receptor family 1 subfamily F member 1	O43749
Approved	OR1G1	olfactory receptor family 1 subfamily G member 1	P47890
Approved	OR1I1	olfactory receptor family 1 subfamily I member 1	O60431
Approved	OR1J1	olfactory receptor family 1 subfamily J member 1	Q8NGS3
Approved	OR1J2	olfactory receptor family 1 subfamily J member 2	Q8NGS2
Approved	OR1J4	olfactory receptor family 1 subfamily J member 4	Q8NGS1
Approved	OR1K1	olfactory receptor family 1 subfamily K member 1	Q8NGR3
Approved	OR1L1	olfactory receptor family 1 subfamily L member 1	Q8NH94
Approved	OR1L3	olfactory receptor family 1 subfamily L member 3	Q8NH93
Approved	OR1L4	olfactory receptor family 1 subfamily L member 4	Q8NGR5
Approved	OR1L6	olfactory receptor family 1 subfamily L member 6	Q8NGR2
Approved	OR1L8	olfactory receptor family 1 subfamily L member 8	Q8NGR8
Approved	OR1M1	olfactory receptor family 1 subfamily M member 1	Q8NGA1
Approved	OR1N1	olfactory receptor family 1 subfamily N member 1	Q8NGS0
Approved	OR1N2	olfactory receptor family 1 subfamily N member 2	Q8NGR9
Approved	OR1Q1	olfactory receptor family 1 subfamily Q member 1	Q15612
Approved	OR1S1	olfactory receptor family 1 subfamily S member 1	Q8NH92
Approved	OR1S2	olfactory receptor family 1 subfamily S member 2	Q8NGQ3
Approved	OR2A1	olfactory receptor family 2 subfamily A member 1	Q8NGT9
Approved	OR2A2	olfactory receptor family 2 subfamily A member 2	Q6IF42
Approved	OR2A4	olfactory receptor family 2 subfamily A member 4	O95047
Approved	OR2A5	olfactory receptor family 2 subfamily A member 5	Q96R48
Approved	OR2A7	olfactory receptor family 2 subfamily A member 7	Q96R45
