Odorant,PubChem CID,CAS,SMILES
acetoin,179,513-86-0,CC(O)C(C)=O
benzaldehyde,240,100-52-7,O=Cc1ccccc1
Benzene,241,71-43-2,c1ccccc1
phenylmethanol,244,100-51-6,OCc1ccccc1
1-octen-3-one,261,123-72-8,CCCCCC(=O)C=C
1-Butanol,263,71-36-3,CCCCO
Butyric acid,264,107-92-6,CCCC(O)=O
coumarin,323,91-64-5,O=C1Oc2ccccc2C=C1
Octanoic Acid,379,124-07-2,CCCCCCCC(O)=O
octanal,454,124-13-0,CCCCCCCC=O
guaiacol,460,8021-39-4,COc1ccccc1O
diacetyl,650,431-03-8,CC(=O)C(C)=O
Methanethiol,878,74-93-1,CS
1-octanol,957,111-87-5,CCCCCCCCO
Phenyl acetaldehyde,998,122-78-1,O=CCc1ccccc1
Propionic acid,1032,79-09-4,CCC(O)=O
pyridin,1049,110-86-1,c1ccncc1
vanillin,1183,121-33-5,COc1cc(C=O)ccc1O
camphor,2537,76-22-2,CC1(C)C2CCC1(C)C(=O)C2
14-Cineole,2758,470-82-6,CC12CCC(CC1)C(C)(C)O2
Capric acid,2969,334-48-5,CCCCCCCCCC(O)=O
benzophenone,3102,119-61-9,O=C(c1ccccc1)c2ccccc2
Eugenol,3314,97-53-0,COc1cc(CC=C)ccc1O
methyl salicylate,4133,119-36-8,COC(=O)c1ccccc1O
helional,4763,11097-06-6,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2
safrol,5144,94-59-7,C=CCc1ccc2OCOc2c1
sebacid,5192,111-20-6,OC(=O)CCCCCCCCC(O)=O
hexanal,6184,66-25-1,O=CCc1ccccc1
1-pentanol,6276,71-41-0,CCCCCO
ethanethiol,6343,75-08-1,CCS
Linalool,6549,78-70-6,CC(C)=CCCC(C)(O)C=C
2-Butanone,6569,78-93-3,CCC(C)=O
isobutyric acid,6590,79-31-2,CC(C)C(O)=O
Dimethyl anthranilate,6826,NA,CNC1=CC=CC=C1C(=O)OC
(4-tert-butylphenoxy) acetaldehyde,6989,89-83-8,CC(C)(C)c1ccc(OCC=O)cc1
2-Ethylphenol,6997,NA,CCC1=CC=CC=C1O
quinoline,7047,91-22-5,c1ccc2ncccc2c1
eugenol methyl ether,7127,NA,COC.COc1cc(CC=C)ccc1O
Caramel furanone,7136,93-28-7,CC1C(=C(C(=O)O1)O)C
2-Methoxy-4-methylphenol,7144,93-51-6,COc1cc(C)ccc1O
methyl benzoate,7150,NA,COC(=O)C1=CC=CC=C1
benzothiazol,7222,95-16-9,s1cnc2ccccc12
ethyl isobutyrate,7342,97-62-1,CCOC(=O)C(C)C
acetophenone,7410,98-86-2,CC(=O)c1ccccc1
Diphenyl ether,7583,101-84-8,O(c1ccccc1)c2ccccc2
ethyl-phenylacetate,7590,101-97-3,CCOC(=O)CC1=CC=CC=C1
phenethyl-acetate,7654,103-45-7,CC(=O)OCCC1=CC=CC=C1
gamma-Octalactone ,7704,104-50-7,CCCCC1CCC(=O)O1
Gamma-nonalactone,7710,104-61-0,CCCCCC1CCC(=O)O1
ethyl butyrate,7762,105-54-4,CCCC(=O)OCC
(S)-(-)-citronellol,7793,7540-51-4,C[C@@H](CCC=C(C)C)CCO
(R)-(+)-citronellal,7794,106-23-0,C[C@H](CCC=C(C)C)CC=O
ethyl octanoate,7799,106-32-1,CCCCCCCC(=O)OCC
3-heptanone,7802,106-35-4,CCCCC(=O)CC
hydroxy-citronellal,7888,107-75-5,CC(CC\C=C(C)/CO)CC=O
2-Pentanone,7895,NA,CCCC(=O)C
Cyclohexanone,7967,108-94-1,O=C1CCCCC1
2-methyl pyrazine,7976,109-08-0,Cc1cnccn1
valeric acid,7991,109-52-4,CCCCC(O)=O
ethyl decanoate,8048,110-38-3,CCCCCCCCCC(=O)OCC
methyl decanoate,8050,110-42-9,CCCCCCCCCC(=O)OC
2-Heptanone,8051,110-43-0,CCCCCC(C)=O
methyl octanoate,8091,111-11-5,CCCCCCCC(=O)OC
2-octanone,8093,111-13-7,CCCCCCC(C)=O
heptanoic acid,8094,111-14-8,CCCCCCC(O)=O
1-hexanol,8103,25917-35-5,CCCCCCO
1-Heptanol,8129,53535-33-4,CCCCCCCO
heptanal,8130,111-71-7,CCCCCCC=O
1-octanethiol,8144,111-88-6,CCCCCCCCS
nonanoic acid,8158,112-05-0,CCCCCCCCC(O)=O
Heptyl acetate,8159,112-06-1,CCCCCCCOC(C)=O
2-undecanone,8163,112-12-9,CCCCCCCCCC(C)=O
Octyl acetate,8164,112-14-1,CCCCCCCCOC(C)=O
n-Decyl acetate,8167,NA,CCCCCCCCCCOC(=O)C
1-decanol,8174,112-30-1,CCCCCCCCCCO
decanal,8175,112-31-2,CCCCCCCCCC=O
Octyl formate,8176,NA,CCCCCCCCOC=O
Undecanal,8186,112-44-7,CCCCCCCCCCC=O
1-dodecanol,8193,112-53-8,CCCCCCCCCCCCO
lauric aldehyde,8194,112-54-9,CCCCCCCCCCCC=O
Benzyl salicylate,8363,NA,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O
