"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"8","ENSMUSG00000108674",1.99474759951238,3.30195634812327,47.1060297843552,6.72484837152604e-12,7.4107829054217e-09,83,124,78,392,829,264,"Olfr1359","olfactory receptor 1359"
"10","ENSMUSG00000070417",2.38571734310532,1.25903067772051,39.9903697271783,2.55218025041165e-10,1.40625131797682e-07,24,16,15,121,155,78,"Olfr2","olfactory receptor 2"
"14","ENSMUSG00000108534",2.24481625175602,2.47948621180682,30.2405463368853,3.81646934261827e-08,1.40191640518844e-05,41,41,47,204,528,137,"Olfr1360","olfactory receptor 1360"
"19","ENSMUSG00000044985",1.49507737960996,5.55780337849785,24.2949930041365,8.26536340268977e-07,0.000227710761744103,499,727,404,1129,4750,1068,"Olfr124","olfactory receptor 124"
"23","ENSMUSG00000046016",2.03018227757983,4.64214361981354,23.0772220296009,1.55623438330605e-06,0.000342994058080653,243,220,140,572,2890,551,"Olfr1364","olfactory receptor 1364"
"24","ENSMUSG00000050366",1.33811271476292,4.8798121958936,20.2675428750265,6.73332085996736e-06,0.00123668659794734,423,492,248,927,2683,582,"Olfr524","olfactory receptor 524"
"34","ENSMUSG00000075064",-6.66936170328545,-1.7544352145165,17.8983616771574,2.33021618716834e-05,0.00366842605465644,16,0,19,0,0,0,"Olfr1506","olfactory receptor 1506"
"37","ENSMUSG00000045202",1.52318104954176,2.8791745346611,17.2236728915315,3.32270079613695e-05,0.00457702034667865,85,96,74,193,651,196,"Olfr123","olfactory receptor 123"
"49","ENSMUSG00000049041",1.18716197364676,3.50970148103589,14.8091442202957,0.000118957289596101,0.0145656592372115,187,205,107,377,913,241,"Olfr398","olfactory receptor 398"
"84","ENSMUSG00000071000",1.36191058314732,1.073010903963,11.1734375950707,0.000829767420246552,0.09144036971117,45,19,21,78,74,98,"Olfr155","olfactory receptor 155"
"88","ENSMUSG00000071494",0.958637199815136,5.47035826145045,10.7423479317306,0.00104711395207701,0.104901779562624,832,953,418,1089,3445,1098,"Olfr455","olfactory receptor 455"
"96","ENSMUSG00000070374",1.10921322560761,3.22112416393277,10.2906743315911,0.00133704218799002,0.122785040930417,149,224,55,217,887,162,"Olfr59","olfactory receptor 59"
"100","ENSMUSG00000075086",1.02703632413516,1.85858466981778,10.0637429325025,0.00151215705234361,0.128184390129435,58,82,38,157,123,142,"Olfr1241","olfactory receptor 1241"
"114","ENSMUSG00000057890",1.84547971970592,-0.872475957215002,9.48225636446711,0.00207468645475518,0.163307462367158,4,6,5,18,25,22,"Olfr1375","olfactory receptor 1375"
