"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"3","ENSMUSG00000043312",2.43144287444311,4.72549609418396,171.765948644855,3.04422721545967e-39,3.35473839143656e-36,356,324,302,1344,1787,2012,"Olfr131","olfactory receptor 131"
"4","ENSMUSG00000066671",2.28660139183344,4.69328711669079,169.380811762004,1.01019400260763e-38,5.56616895436804e-36,387,354,306,1800,1691,1409,"Olfr220","olfactory receptor 220"
"6","ENSMUSG00000062782",1.98489281445417,4.5495838187992,113.073535693276,2.07918862670992e-26,7.63755288878111e-24,467,276,377,1328,1083,1864,"Olfr527","olfactory receptor 527"
"12","ENSMUSG00000054054",1.365449274994,4.70665865715156,52.122803644381,5.21359487875894e-13,1.43634538909809e-10,676,581,473,1180,1227,1942,"Olfr309","olfactory receptor 309"
"32","ENSMUSG00000095765",1.09753492330896,4.09915488874644,29.8188328624524,4.7436157990559e-08,1.04549292211192e-05,496,445,348,1047,979,644,"Olfr741","olfactory receptor 741"
"40","ENSMUSG00000107645",-1.00571048114692,3.95548804253642,26.0938650923596,3.25215700425981e-07,5.97312836449052e-05,590,932,919,234,437,535,"Olfr1380","olfactory receptor 1380"
"79","ENSMUSG00000094285",1.39299592237294,5.53725038888808,18.672313911337,1.55220013350891e-05,0.00244360649589546,1389,619,871,3762,2807,1114,"Olfr743","olfactory receptor 743"
"112","ENSMUSG00000045030",1.23796325452339,3.65323706868824,16.2350425602659,5.59495644877886e-05,0.00770705250819288,391,209,273,790,802,412,"Olfr1443","olfactory receptor 1443"
"161","ENSMUSG00000059887",0.739104944726641,4.06047002143114,13.8843483551271,0.000194410742580018,0.0238045153692422,684,408,407,924,737,688,"Olfr1507","olfactory receptor 1507"
"167","ENSMUSG00000068431",0.896329927017706,4.54469572027963,13.5272009753189,0.000235130469542405,0.025911377743573,770,542,598,1213,1439,818,"Olfr742","olfactory receptor 742"
"190","ENSMUSG00000099486",0.843816216460827,3.50864786196945,12.6285934346706,0.00037989091170199,0.0380581622450539,476,293,223,578,442,627,"Olfr1228","olfactory receptor 1228"
"236","ENSMUSG00000068816",1.79320936375003,-0.377304156199944,11.4917097271786,0.00069907300993214,0.0641982047454348,25,7,9,45,29,52,"Olfr152","olfactory receptor 152"
"351","ENSMUSG00000095917",1.01201354920777,4.76204399498826,9.75630858362612,0.00178708388952705,0.151489726635293,1148,428,555,1554,1797,741,"Olfr740","olfactory receptor 740"
"364","ENSMUSG00000060480",0.922903931805108,2.23344365790278,9.56311668542057,0.00198525764581511,0.156268137549161,153,103,128,209,246,239,"Olfr171","olfactory receptor 171"
"399","ENSMUSG00000062105",0.995543700825858,1.03295842790676,9.20481012083783,0.00241380032240521,0.177333863686036,69,46,45,89,92,124,"Olfr183","olfactory receptor 183"
"479","ENSMUSG00000095809",1.04990150886295,0.970194760708079,8.49850250042182,0.00355438894321389,0.207190506491965,68,48,34,77,87,133,"Olfr1290","olfactory receptor 1290"
"481","ENSMUSG00000110253",1.61660445136227,-0.850824060493547,8.48807772772411,0.00357481313094519,0.207190506491965,11,12,7,24,37,27,"Olfr495","olfactory receptor 495"
"482","ENSMUSG00000049168",-0.623796091892482,4.2637286738707,8.48348942984599,0.00358384029479816,0.207190506491965,784,859,1095,668,482,552,"Olfr449","olfactory receptor 449"
"492","ENSMUSG00000090129",0.820004517731867,2.17598738768974,8.42367517676933,0.00370366406425828,0.207190506491965,131,127,127,194,244,217,"Olfr287","olfactory receptor 287"
"496","ENSMUSG00000108534",1.14975237357089,0.400554170991537,8.3961027351411,0.00376026327571625,0.207190506491965,55,26,16,90,37,71,"Olfr1360","olfactory receptor 1360"
"606","ENSMUSG00000060112",0.763860844518894,2.72173829549496,7.68095817136986,0.00558065290148936,0.283365163199984,242,157,182,273,308,358,"Olfr60","olfactory receptor 60"
"612","ENSMUSG00000043274",1.09502670612207,0.634656104897761,7.65643497398486,0.00565701777713216,0.283365163199984,66,28,26,77,87,65,"Olfr1123","olfactory receptor 1123"
"648","ENSMUSG00000056995",0.898714910538786,0.791108343122949,7.45487266861796,0.00632649539026305,0.292329361993429,51,49,40,100,75,76,"Olfr1178","olfactory receptor 1178"
"657","ENSMUSG00000068535",0.677464956976689,3.23329715819109,7.41237802761825,0.00647766464496892,0.292329361993429,251,277,324,330,504,490,"Olfr169","olfactory receptor 169"
"667","ENSMUSG00000054938",0.71352557775564,2.46405923083899,7.37008190013514,0.00663179133378922,0.292329361993429,173,167,155,243,264,272,"Olfr1346","olfactory receptor 1346"
"714","ENSMUSG00000110008",0.978029758187297,0.485573456161101,7.17193361527939,0.00740529138002476,0.312596451338323,44,34,31,60,66,80,"Olfr560","olfactory receptor 560"
"727","ENSMUSG00000059488",0.447760291738206,4.81959172205333,7.11154743937099,0.00765889672063043,0.312596451338323,1366,790,734,1362,1050,1246,"Olfr727","olfactory receptor 727"
"755","ENSMUSG00000057540",3.13131781195746,-2.55545811076086,6.97804500943449,0.00825156999639627,0.317061063193112,0,1,1,6,1,19,"Olfr310","olfactory receptor 310"
"767","ENSMUSG00000052508",0.384927762354352,5.80284437280785,6.93139507827833,0.00846955984227518,0.317061063193112,2523,1678,1607,2630,2159,2360,"Olfr536","olfactory receptor 536"
"777","ENSMUSG00000078116",2.81747023623616,-2.70530814380366,6.89754361605056,0.00863142640271629,0.317061063193112,0,1,2,5,9,7,"Olfr828","olfactory receptor 828"
"795","ENSMUSG00000095187",-0.675599870380073,2.5757599435795,6.82331168516854,0.00899755704465226,0.319848640748606,234,356,287,165,172,183,"Olfr1381","olfactory receptor 1381"
"872","ENSMUSG00000059112",0.660659396250665,2.82769228592476,6.58023860912718,0.0103117068811396,0.353176296054375,269,150,228,395,247,332,"Olfr1263","olfactory receptor 1263"
"891","ENSMUSG00000043911",1.59445669105777,-1.13050978489334,6.53221614191451,0.0105937887608145,0.353176296054375,10,8,6,18,33,20,"Olfr922","olfactory receptor 922"
"914","ENSMUSG00000044441",0.695445984532801,2.19872731402515,6.48211151337161,0.0108965463392457,0.353176296054375,179,113,122,219,169,252,"Olfr1442","olfactory receptor 1442"
