"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000050813",2.06135083447644,4.55634474685581,149.42902877951,2.31079803237998e-34,2.54649943168274e-31,254,337,234,957,1859,955,"Olfr332","olfactory receptor 332"
"6","ENSMUSG00000094669",2.22774160263974,2.72942783153572,63.5685250402139,1.54884210706298e-15,8.53412000991702e-13,59,78,67,248,621,238,"Olfr441","olfactory receptor 441"
"7","ENSMUSG00000075170",2.15928896496802,2.79366055739488,58.2056264132721,2.36102842887809e-14,8.67284442874552e-12,71,61,99,281,501,321,"Olfr1097","olfactory receptor 1097"
"8","ENSMUSG00000075382",2.33572041970087,1.74745101718067,54.1808696181197,1.82858468691625e-13,5.03775081245427e-11,28,31,40,155,229,150,"Olfr353","olfactory receptor 353"
"9","ENSMUSG00000061210",2.0566797638733,2.26046634832422,50.7857751457384,1.03017624938385e-12,2.27050845364201e-10,56,47,64,192,327,227,"Olfr47","olfactory receptor 47"
"10","ENSMUSG00000043274",2.03040814022264,2.51612135064638,50.0143730464227,1.52623906538234e-12,2.80319241675223e-10,70,50,85,236,382,267,"Olfr1123","olfactory receptor 1123"
"11","ENSMUSG00000073945",2.71248927208765,0.782264966069356,46.3354037481513,9.96470612002896e-12,1.5687294491817e-09,10,12,18,75,115,88,"Olfr618","olfactory receptor 618"
"13","ENSMUSG00000043605",1.89117477920193,2.1512389035818,43.9617014766792,3.34864402758594e-11,4.61275714799963e-09,55,65,49,193,287,190,"Olfr13","olfactory receptor 13"
"14","ENSMUSG00000045708",2.2864113033173,1.31151986838738,41.3717258027917,1.25864778404872e-10,1.54114428669077e-08,22,25,25,121,201,76,"Olfr447","olfactory receptor 447"
"16","ENSMUSG00000108948",1.30995535627658,3.71340990052558,39.0295684677598,4.17435010717708e-10,4.60013381810914e-08,213,244,223,407,842,599,"Olfr695","olfactory receptor 695"
"17","ENSMUSG00000096365",-0.951401502996063,4.40635002183662,31.0054147637626,2.57309581635052e-08,2.57777417238025e-06,707,826,1009,334,530,536,"Olfr1463","olfactory receptor 1463"
"18","ENSMUSG00000075383",1.87283163466711,1.13045486390494,30.6536435539061,3.08446839609384e-08,2.83257014374618e-06,22,36,24,68,171,95,"Olfr351","olfactory receptor 351"
"26","ENSMUSG00000108931",1.96538277759641,0.385779882837961,19.2879888153773,1.12411282823746e-05,0.000952901797475139,5,12,32,22,81,89,"Olfr1284","olfactory receptor 1284"
"28","ENSMUSG00000091601",1.1029439058143,2.91822206883786,18.4119760185431,1.7793613318109e-05,0.00140061156261115,129,150,150,205,429,379,"Olfr93","olfactory receptor 93"
"35","ENSMUSG00000059411",1.73887477476579,0.378257478219171,16.5736072565372,4.67977739840394e-05,0.00343807646202743,14,19,18,59,82,44,"Olfr434","olfactory receptor 434"
"41","ENSMUSG00000047050",1.40311022484182,0.907500058263145,14.8069116954835,0.000119098197501195,0.00820288835289481,24,42,24,83,118,55,"Olfr914","olfactory receptor 914"
"51","ENSMUSG00000060480",-0.955441630200643,2.9421262643075,12.2915249805769,0.000455019790031971,0.0294959887420725,154,375,402,93,278,146,"Olfr171","olfactory receptor 171"
"55","ENSMUSG00000094846",1.16582919375484,1.32777407306266,11.6970107934686,0.000626005831824315,0.0383254681483553,41,38,57,81,175,83,"Olfr1487","olfactory receptor 1487"
"60","ENSMUSG00000075214",1.90621840844823,-0.357014810360934,11.0605085545798,0.000881859520424329,0.0511478521846111,13,3,13,45,33,27,"Olfr1002","olfactory receptor 1002"
"93","ENSMUSG00000043855",0.876952763686025,2.05403673833928,9.35072581943062,0.00222897177542402,0.122816344825863,108,74,82,132,219,164,"Olfr479","olfactory receptor 479"
"102","ENSMUSG00000073110",2.64728250904086,-0.97270789070947,9.02748642004733,0.00265949926993826,0.13956039026057,4,9,0,31,18,21,"Olfr444","olfactory receptor 444"
"126","ENSMUSG00000068806",0.808202108305883,2.04653961840871,8.35772687549257,0.00384050693658493,0.188510283123588,94,86,88,116,217,176,"Olfr1259","olfactory receptor 1259"
"128","ENSMUSG00000056822",-0.375640133520926,5.69426908906706,8.31383406163063,0.00393442514686254,0.188510283123588,1389,1822,2140,1018,1901,1494,"Olfr166","olfactory receptor 166"
"136","ENSMUSG00000044120",0.97504008328022,1.72883428355369,8.1141455368182,0.00439211700858532,0.201671372644209,43,77,62,78,328,68,"Olfr683","olfactory receptor 683"
"206","ENSMUSG00000052508",-0.30357861815326,6.38154303481238,7.15067529189919,0.00749357664758131,0.330316858625384,2181,2410,3833,1416,2976,2954,"Olfr536","olfactory receptor 536"
"218","ENSMUSG00000059189",0.938873396974764,0.803804565493876,6.87848965652103,0.00872392531494446,0.369760219118031,31,39,34,48,86,82,"Olfr913","olfactory receptor 913"
"233","ENSMUSG00000060523",-0.492626248755855,4.14007648887744,6.72620438854719,0.00950065558824592,0.387767498453593,442,546,905,263,677,512,"Olfr726","olfactory receptor 726"
"253","ENSMUSG00000096695",0.86585561836677,1.3275428091143,6.60574129316934,0.0101650477155824,0.40006723509185,77,33,52,78,107,114,"Olfr196","olfactory receptor 196"
"265","ENSMUSG00000046300",-0.703545282822046,2.56256415193125,6.5012306526227,0.0107799851513824,0.409551996629488,164,221,281,124,167,134,"Olfr1412","olfactory receptor 1412"
"267","ENSMUSG00000050015",-0.796526191881899,1.25757560621842,6.44135955889277,0.0111493284018917,0.409551996629488,85,89,95,42,80,47,"Olfr350","olfactory receptor 350"
"274","ENSMUSG00000058114",-0.760846550239606,1.46753946120444,6.32520363651311,0.0119033817766021,0.417117212052886,83,94,133,37,89,74,"Olfr127","olfactory receptor 127"
"279","ENSMUSG00000059460",-0.868876049585507,1.03733222963718,6.29435673528172,0.0121122965387408,0.417117212052886,35,119,84,22,64,51,"Olfr286","olfactory receptor 286"
"295","ENSMUSG00000068431",-0.482042407452652,4.58287595848998,6.21606391493405,0.0126596250906808,0.422754753028189,547,796,1249,409,955,596,"Olfr742","olfactory receptor 742"
"304","ENSMUSG00000068182",1.50057330184412,-0.153948390805689,6.114183811061,0.0134101321793076,0.434646048870499,4,20,18,41,40,34,"Olfr203","olfactory receptor 203"
"349","ENSMUSG00000110947",0.782985992484795,1.29925674799104,5.79155437311717,0.0161033447351986,0.507025311376824,66,62,33,72,156,73,"Olfr1333","olfactory receptor 1333"
"356","ENSMUSG00000061361",-0.469425717048198,4.71294262638068,5.74173582409296,0.0165664125430967,0.507116295069238,564,1442,831,495,1000,606,"Olfr168","olfactory receptor 168"
"443","ENSMUSG00000063188",-0.73795350530944,1.34497504472801,5.20720865955759,0.0224934198356164,0.669939152941872,85,77,123,53,76,50,"Olfr107","olfactory receptor 107"
"460","ENSMUSG00000070857",1.35124398434049,-0.484823957811407,5.0578926470594,0.0245140287260925,0.710906833056682,7,7,20,17,50,25,"Olfr1113","olfactory receptor 1113"
"509","ENSMUSG00000109542",1.44989474551139,-0.915283646748535,4.91765509141766,0.0265835745971741,0.751156389899637,2,12,10,13,28,24,"Olfr470","olfactory receptor 470"
"548","ENSMUSG00000101750",-0.428739423493193,4.13993467377949,4.79459463249112,0.0285491739328276,0.767941153185826,453,524,889,303,682,488,"Olfr1392","olfactory receptor 1392"
"549","ENSMUSG00000059106",-0.778373227832629,1.48994600070171,4.79325930044069,0.0285713133217957,0.767941153185826,91,128,95,74,56,61,"Olfr961","olfactory receptor 961"
"565","ENSMUSG00000073951",0.55103444759712,2.54463122825018,4.71715271780186,0.0298631525092559,0.777682492625906,153,134,139,197,261,203,"Olfr598","olfactory receptor 598"
"569","ENSMUSG00000050028",0.511719858098024,3.33202764353174,4.68963217293749,0.0303451426342232,0.777682492625906,200,234,325,319,423,383,"Olfr745","olfactory receptor 745"
"682","ENSMUSG00000058659",-1.22326671925262,-0.253260088723996,4.35752369913743,0.0368458280730343,0.922820512192814,35,28,32,5,15,30,"Olfr58","olfactory receptor 58"
"740","ENSMUSG00000045581",-0.681566943829187,0.97972414869152,4.25768286983201,0.0390731836323739,0.956858852508356,69,90,55,34,73,39,"Olfr710","olfactory receptor 710"
"804","ENSMUSG00000064044",0.591631328250846,1.94570948461029,4.11621666087873,0.0424739640364369,1,68,106,102,109,162,168,"Olfr319","olfactory receptor 319"
