"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"1","ENSMUSG00000043226",3.41998733106213,3.50677786093995,121.987961453113,2.32242846020722e-28,2.55931616314836e-25,31,65,98,514,480,1076,"Olfr1009","olfactory receptor 1009"
"3","ENSMUSG00000050813",2.22369825355186,5.73581421651648,70.2754696402177,5.15750623320033e-17,2.84178593449338e-14,290,922,744,2123,2490,4023,"Olfr332","olfactory receptor 332"
"4","ENSMUSG00000070375",2.5264901251923,3.13438559737897,67.2924592242353,2.34074986447964e-16,8.59835450218854e-14,53,83,126,454,425,593,"Olfr406","olfactory receptor 406"
"6","ENSMUSG00000100016",2.68149256212973,1.8567857797337,57.2767489446372,3.78604714489941e-14,1.04305598841979e-11,15,36,42,96,206,316,"Olfr1215","olfactory receptor 1215"
"7","ENSMUSG00000070374",1.89538681326438,3.54819184266501,52.7468462357362,3.79432121191385e-13,8.36268395105813e-11,125,167,195,577,588,652,"Olfr59","olfactory receptor 59"
"8","ENSMUSG00000060503",1.80267752606682,3.72380510851,51.159007068639,8.51789456643853e-13,1.56445330203588e-10,112,207,265,468,621,948,"Olfr715","olfactory receptor 715"
"9","ENSMUSG00000073896",1.80821559806597,4.81183966043896,48.0355134836929,4.18568745279385e-12,6.58946796139832e-10,271,461,501,1555,1081,1688,"Olfr716","olfactory receptor 716"
"10","ENSMUSG00000069390",2.30000107807059,2.74250171223442,47.6083283879897,5.20469003441105e-12,7.16946052240122e-10,32,80,126,262,350,472,"Olfr707","olfactory receptor 707"
"11","ENSMUSG00000056600",1.98666474339282,3.30533554570959,46.3672198457937,9.80420751062092e-12,1.20047074185603e-09,124,115,140,369,496,709,"Olfr90","olfactory receptor 90"
"14","ENSMUSG00000095377",2.22055702031573,2.27320997283105,43.5886630652254,4.0517951421736e-11,4.21516832045358e-09,34,59,70,163,231,395,"Olfr91","olfactory receptor 91"
"15","ENSMUSG00000094182",2.53280816876997,2.24597339541391,43.5148615663512,4.20751828720412e-11,4.21516832045358e-09,35,44,50,315,144,342,"Olfr937","olfactory receptor 937"
"16","ENSMUSG00000045581",2.37545232626137,2.06436487764077,43.1374878366681,5.10251630432919e-11,4.68581080614231e-09,17,49,75,141,283,254,"Olfr710","olfactory receptor 710"
"18","ENSMUSG00000059411",2.37629581585682,1.09680462314573,37.879810974985,7.52398399581244e-10,6.37802335645024e-08,23,11,35,124,98,121,"Olfr434","olfactory receptor 434"
"19","ENSMUSG00000095804",2.18459508134652,1.38040869732719,35.2661383029861,2.87589070155242e-09,2.26373682365055e-07,17,30,41,93,96,231,"Olfr824","olfactory receptor 824"
"22","ENSMUSG00000075163",2.11771031923512,1.4310891287916,35.1130778857798,3.11104433517704e-09,2.28558057157673e-07,22,35,39,113,115,200,"Olfr1107","olfactory receptor 1107"
"30","ENSMUSG00000070856",1.71036940949931,2.00168538924367,26.6493121561086,2.43937617602002e-07,1.68012034123379e-05,27,60,104,112,213,271,"Olfr1115","olfactory receptor 1115"
"40","ENSMUSG00000061342",1.79475648055136,0.907313781831089,22.4519446537693,2.15467234532104e-06,0.000133213430778168,18,24,39,97,73,109,"Olfr1168","olfactory receptor 1168"
"41","ENSMUSG00000045202",1.82929751329945,2.72837337321392,22.4331142949697,2.17589995826409e-06,0.000133213430778168,45,128,124,338,248,420,"Olfr123","olfactory receptor 123"
"42","ENSMUSG00000096747",2.34440472670662,0.0526692816448217,22.0140157481642,2.70666720888583e-06,0.000156986698115378,6,20,7,40,70,49,"Olfr823","olfactory receptor 823"
"52","ENSMUSG00000051258",1.45878261246559,3.63266027969185,18.7290877291719,1.506665703573e-05,0.000830172802668723,142,183,306,827,314,679,"Olfr1362","olfactory receptor 1362"
"53","ENSMUSG00000091601",1.67661342662467,4.07786518540977,18.3898411023567,1.80015179984394e-05,0.000944651087346677,91,532,289,655,666,1096,"Olfr93","olfactory receptor 93"
"57","ENSMUSG00000043605",1.52757268706067,1.44317478729138,18.0092709591451,2.19831756593676e-05,0.00110115725348287,30,54,51,144,128,117,"Olfr13","olfactory receptor 13"
"61","ENSMUSG00000075100",1.93601967630769,0.833277916366666,17.6648816459613,2.63445925887038e-05,0.00126224961011963,8,27,38,83,52,135,"Olfr1223","olfactory receptor 1223"
"66","ENSMUSG00000070855",1.54008591460132,1.12172445370908,16.5026298820017,4.85826412480296e-05,0.00223075294397203,23,55,31,104,103,100,"Olfr1116","olfactory receptor 1116"
"76","ENSMUSG00000070852",2.33605488915036,-0.3194520170844,15.0268915921961,0.0001059900625619,0.00467204195772855,3,7,14,51,19,53,"Olfr1121","olfactory receptor 1121"
"88","ENSMUSG00000083947",1.45350951604539,3.3496572318569,13.6065467817082,0.000225398111832118,0.00955341227842285,100,163,252,718,237,541,"Olfr122","olfactory receptor 122"
"135","ENSMUSG00000095910",1.74167002937632,0.76643940093736,11.069186146035,0.000877741998798601,0.0354700247632626,12,37,24,123,47,80,"Olfr469","olfactory receptor 469"
"137","ENSMUSG00000095189",2.82059151048363,0.203193799054265,10.9610753751838,0.00093045803275931,0.0354700247632626,1,6,8,158,9,32,"Olfr1472","olfactory receptor 1472"
"138","ENSMUSG00000095608",1.37419133986084,0.907965434653994,10.9551826593227,0.000933421704296385,0.0354700247632626,30,31,30,147,46,73,"Olfr247","olfactory receptor 247"
"140","ENSMUSG00000110947",1.33534402651004,0.852041726455923,10.8903325801054,0.000966674696841685,0.0355091838639846,28,49,20,111,75,58,"Olfr1333","olfactory receptor 1333"
"142","ENSMUSG00000045708",1.50172227312352,0.608122105964997,10.8071161097717,0.0010111068502248,0.0359432177079913,18,26,26,116,44,58,"Olfr447","olfactory receptor 447"
"171","ENSMUSG00000089717",2.08994463542887,-0.885184517181814,10.0382251325214,0.00153324863509088,0.0510782082247998,4,7,6,30,14,34,"Olfr275","olfactory receptor 275"
"172","ENSMUSG00000075064",-3.84484876180279,-2.10383810290371,9.99459682177822,0.00157000198892029,0.0510782082247998,16,0,16,2,0,0,"Olfr1506","olfactory receptor 1506"
"173","ENSMUSG00000075159",1.13413207928117,3.98393710503164,9.9876736805167,0.00157591568025698,0.0510782082247998,204,378,354,1052,408,713,"Olfr1110","olfactory receptor 1110"
"175","ENSMUSG00000070857",1.56030758848936,0.438555136062018,9.84351737933949,0.00170431298874488,0.0524945201348591,8,23,37,73,42,74,"Olfr1113","olfactory receptor 1113"
"176","ENSMUSG00000094295",1.3101419384562,0.769535518887065,9.83214283963668,0.001714884505313,0.0524945201348591,29,34,25,118,47,70,"Olfr819","olfactory receptor 819"
"208","ENSMUSG00000063374",1.42814261706928,0.490376792031839,9.04329800809233,0.00263659571032535,0.077696952903731,9,20,50,67,42,80,"Olfr763","olfactory receptor 763"
"210","ENSMUSG00000093920",1.16084646880819,2.68445781943454,9.01399252923478,0.00267920527254245,0.077696952903731,69,131,200,364,225,273,"Olfr463","olfactory receptor 463"
"215","ENSMUSG00000073997",1.44610875510056,-0.158800919726444,8.86780869966955,0.00290243333461272,0.0820123470446979,12,12,20,48,33,40,"Olfr521","olfactory receptor 521"
"221","ENSMUSG00000061210",1.31045720360297,1.61602081061835,8.74878456278513,0.00309808472853259,0.0853522342710729,31,77,58,211,109,104,"Olfr47","olfactory receptor 47"
"229","ENSMUSG00000075068",-0.643612241301615,6.79527834564933,8.68475508390401,0.00320882695771629,0.0862470074976427,2180,3705,7469,1911,1561,5520,"Olfr140","olfactory receptor 140"
"234","ENSMUSG00000111732",1.86974409262479,-0.766822390885349,8.58694583746567,0.0033858139555779,0.0888373090249249,6,4,11,47,13,23,"Olfr785","olfactory receptor 785"
"239","ENSMUSG00000061616",0.997988377618546,3.67737096504254,8.51837932109414,0.00351577449753697,0.090101941774087,160,348,336,642,367,667,"Olfr12","olfactory receptor 12"
"255","ENSMUSG00000063994",1.46344067726128,2.83714809664333,8.35905167534091,0.00383770796893534,0.0961171404946987,57,109,173,594,128,343,"Olfr120","olfactory receptor 120"
"278","ENSMUSG00000053251",1.08637611214358,3.69196914325007,7.96640838426751,0.00476533984110574,0.116697877886634,143,374,304,745,375,596,"Olfr212","olfactory receptor 212"
"282","ENSMUSG00000037924",1.04761282330382,3.29726371719797,7.89342798937952,0.00496147406767505,0.117754241644105,146,201,241,698,234,408,"Olfr16","olfactory receptor 16"
"284","ENSMUSG00000049674",1.3531404134436,0.039059260480825,7.8714320943173,0.00502218634961247,0.117754241644105,17,10,25,73,25,41,"Olfr714","olfactory receptor 714"
"333","ENSMUSG00000046431",1.22999965952628,3.39499950250012,7.40751919666786,0.00649518264415099,0.1491185682053,101,211,270,792,226,469,"Olfr518","olfactory receptor 518"
"351","ENSMUSG00000075377",1.1969166369893,2.34758111481227,7.31370487491396,0.00684306987438927,0.153899244930142,100,107,72,253,106,357,"Olfr362","olfactory receptor 362"
"363","ENSMUSG00000059821",1.04819666676449,0.877643675772948,7.22564660611583,0.00718692807034345,0.15839989467037,37,31,39,130,59,53,"Olfr847","olfactory receptor 847"
"385","ENSMUSG00000060742",-2.60168923622265,-2.15692465524483,6.98390107850332,0.00822461374803391,0.177716163732027,5,14,8,1,4,0,"Olfr1076","olfactory receptor 1076"
