"","ensembl_gene_id","logFC","logCPM","LR","PValue","FDR","No1","No2","No3","ST1","ST2","ST3","symbol","name"
"2","ENSMUSG00000061952",3.18452563855117,3.42667787804765,126.462304358555,2.43584831014976e-29,2.68430483778504e-26,73,102,64,927,726,425,"Olfr1377","olfactory receptor 1377"
"3","ENSMUSG00000066750",2.85379206462579,3.18043308311712,119.00166978504,1.04641379650308e-27,5.76574001873197e-25,86,98,64,678,705,336,"Olfr876","olfactory receptor 876"
"4","ENSMUSG00000060583",3.183131144787,2.76778993237009,109.011635272315,1.61336026256203e-25,5.92641003114452e-23,58,59,32,681,462,203,"Olfr881","olfactory receptor 881"
"5","ENSMUSG00000059189",2.5749581523408,2.24764407024374,69.422196484306,7.94890575545641e-17,2.18992353562824e-14,68,65,23,454,324,117,"Olfr913","olfactory receptor 913"
"6","ENSMUSG00000096356",2.73755442569072,1.62887397131353,65.5259088042529,5.7354970251743e-16,1.26410354434842e-13,29,39,22,250,208,114,"Olfr889","olfactory receptor 889"
"7","ENSMUSG00000094612",2.03609621528703,3.56080677733865,64.2822705380162,1.07811544481241e-15,1.98013870030546e-13,156,237,136,796,760,457,"Olfr491","olfactory receptor 491"
"8","ENSMUSG00000044798",3.1272124334384,4.42181575082639,54.5295920196871,1.53124585707299e-13,2.41061847784919e-11,102,191,125,2816,1120,445,"Olfr923","olfactory receptor 923"
"9","ENSMUSG00000044205",1.87190754636793,2.85502065689864,50.6177599395182,1.12224898697253e-12,1.54589797955466e-10,132,135,84,433,545,246,"Olfr983","olfactory receptor 983"
"12","ENSMUSG00000058014",2.07799134569516,1.77409179379774,45.44416347809,1.57052842641569e-11,1.92302480656677e-09,65,57,28,250,234,108,"Olfr502","olfactory receptor 502"
"14","ENSMUSG00000046150",2.74013696033418,1.42506770772337,40.6060417500435,1.86229950789681e-10,2.05225405770228e-08,22,36,14,319,124,68,"Olfr918","olfactory receptor 918"
