Input	Input Type	MGI Gene/Marker ID	Ensembl ID	Uniprot ID
Olfr1008	old symbol	MGI:3030842	ENSMUSG00000050603	Q8VGC7
Olfr1009	old symbol	MGI:3030843	ENSMUSG00000043226	Q8VFK1
Olfr1009	old symbol	MGI:3030843	ENSMUSG00000043226	A2ALD4
Olfr1009	old symbol	MGI:3030843	ENSMUSG00000043226	Q2NKW4
Olfr1019	old symbol	MGI:3030853	ENSMUSG00000075208	Q8VGS3
Olfr1019	old symbol	MGI:3030853	ENSMUSG00000075208	Q149M3
Olfr1032	old symbol	MGI:3030866	ENSMUSG00000042796	A2ATE5
Olfr1032	old symbol	MGI:3030866	ENSMUSG00000042796	Q2HJC1
Olfr1044	old symbol	MGI:3030878	ENSMUSG00000075200	Q8VGR9
Olfr1044	old symbol	MGI:3030878	ENSMUSG00000075200	Q2M2P8
Olfr1047	old symbol	MGI:3030881	ENSMUSG00000075196	Q8VGS0
Olfr1054	old symbol	MGI:3030888	ENSMUSG00000075190	Q8VGS7
Olfr1062	old symbol	MGI:3030896	ENSMUSG00000090059	Q7TR71
Olfr1079	old symbol	MGI:3030913	ENSMUSG00000075179	Q7TR68
Olfr1079	old symbol	MGI:3030913	ENSMUSG00000075179	Q8VF52
Olfr1080	old symbol	MGI:3030914	ENSMUSG00000110912	Q7TR67
Olfr1082	old symbol	MGI:3030916	ENSMUSG00000111689	A0A1L1SUC9
Olfr109	old symbol	MGI:2177492	ENSMUSG00000029184	Q8VG96
Olfr1093	old symbol	MGI:3030927	ENSMUSG00000047969	Q8VF14
Olfr1094	old symbol	MGI:3030928	ENSMUSG00000044213	Q8VF13
Olfr1094	old symbol	MGI:3030928	ENSMUSG00000044213	Q0VAY0
Olfr1095	old symbol	MGI:3030929	ENSMUSG00000075171	A3KPP7
Olfr110	old symbol	MGI:2177493	ENSMUSG00000090894	A2RT31
Olfr1101	old symbol	MGI:3030935	ENSMUSG00000075167	Q7TR59
Olfr1104	old symbol	MGI:3030938	ENSMUSG00000075166	A2AVB5
Olfr1126	old symbol	MGI:3030960	ENSMUSG00000058194	Q7TR49
Olfr1130	old symbol	MGI:3030964	ENSMUSG00000059205	A0A1L1SQT2
Olfr1153	old symbol	MGI:3030987	ENSMUSG00000048197	A0A1L1SUW4
Olfr1153	old symbol	MGI:3030987	ENSMUSG00000048197	A2AVC0
Olfr1155	old symbol	MGI:3030989	ENSMUSG00000075145	Q8VFR3
Olfr1170	old symbol	MGI:3031004	ENSMUSG00000075133	Q8VFG1
Olfr120	old symbol	MGI:2177503	ENSMUSG00000063994	Q7TRJ4
Olfr120	old symbol	MGI:2177503	ENSMUSG00000063994	Q8VFQ2
Olfr1213	old symbol	MGI:3031047	ENSMUSG00000075111	A2ATG2
Olfr1228	old symbol	MGI:3031062	ENSMUSG00000099486	Q7TR00
Olfr1228	old symbol	MGI:3031062	ENSMUSG00000099486	Q8VGM9
Olfr123	old symbol	MGI:2177506	ENSMUSG00000045202	Q8VFQ1
Olfr1233	old symbol	MGI:3031067	ENSMUSG00000075091	Q8VGN0
Olfr1238	old symbol	MGI:3031072	ENSMUSG00000111517	Q8VG59
Olfr124	old symbol	MGI:2177507	ENSMUSG00000044985	Q8VGW6
Olfr124_A183I		No associated gene		
Olfr124_H176A		No associated gene		
Olfr124_P182A		No associated gene		
Olfr1241	old symbol	MGI:3031075	ENSMUSG00000075086	Q8VF91
Olfr1250	old symbol	MGI:3031084	ENSMUSG00000075078	Q8VGM3
Olfr1264	old symbol	MGI:3031098	ENSMUSG00000075069	Q9R0K2
Olfr1265	old symbol	MGI:3031099	ENSMUSG00000059910	Q8VEZ3
Olfr128	old symbol	MGI:2177511	ENSMUSG00000059030	Q7TRJ1
Olfr1287	old symbol	MGI:3031121	ENSMUSG00000095586	Q7TQY1
Olfr13	old symbol	MGI:104812	ENSMUSG00000043605	P34984
Olfr13	old symbol	MGI:104812	ENSMUSG00000043605	Q0VAZ7
Olfr131	old symbol	MGI:2177514	ENSMUSG00000043312	Q8VGC8
Olfr1324	old symbol	MGI:3031158	ENSMUSG00000048173	Q7TQW2
Olfr1324	old symbol	MGI:3031158	ENSMUSG00000048173	Q8VEU7
Olfr1325	old symbol	MGI:3031159	ENSMUSG00000051706	Q7TQW1
Olfr1325	old symbol	MGI:3031159	ENSMUSG00000051706	Q8VF43
Olfr1328	old symbol	MGI:3031162	ENSMUSG00000111259	A0A1L1SQF6
Olfr1328	old symbol	MGI:3031162	ENSMUSG00000111259	A7MAY4
Olfr1328	old symbol	MGI:3031162	ENSMUSG00000111259	B1ARV2
Olfr1328	old symbol	MGI:3031162	ENSMUSG00000111259	Q3KP08
Olfr133	old symbol	MGI:2177516	ENSMUSG00000063240	G3UXU0
Olfr133	old symbol	MGI:2177516	ENSMUSG00000063240	Q8VG94
